combo_id,r2,rmse,mae,hidden_layers,learning_rate,batch_size,dropout_rate,activation,optimizer,epochs_trained
48,0.39747038662685685,21.195777827227126,18.996144699927168,"[64, 32]",0.0005,32,0.1,relu,adam,55
49,0.44740364625799656,20.29851036474443,18.883113809297846,"[64, 32]",0.0005,32,0.1,relu,rmsprop,41
50,0.6423463115554906,16.330200403423177,14.891133998622458,"[64, 32]",0.0005,32,0.1,tanh,adam,31
51,0.8226563114583655,11.49921062556941,8.0521044047118,"[64, 32]",0.0005,32,0.1,tanh,rmsprop,45
52,0.8554688254688636,10.381041477773001,7.814088938906718,"[64, 32]",0.0005,32,0.2,relu,adam,64
53,0.810223651908718,11.895458956694114,9.5910671481068,"[64, 32]",0.0005,32,0.2,relu,rmsprop,34
54,0.7860906125722712,12.62917793948383,10.849380943528592,"[64, 32]",0.0005,32,0.2,tanh,adam,49
55,0.7655164176469992,13.222585396126311,10.680103253877368,"[64, 32]",0.0005,32,0.2,tanh,rmsprop,66
56,0.855901731692269,10.365482939293795,7.227503159011385,"[64, 32]",0.0005,32,0.3,relu,adam,32
57,0.9157623306895233,7.925256580697058,5.910733716860752,"[64, 32]",0.0005,32,0.3,relu,rmsprop,96
58,0.7632204536262724,13.287162683479464,11.253197082459222,"[64, 32]",0.0005,32,0.3,tanh,adam,52
59,0.8661617814215058,9.989649115916507,8.024342347624046,"[64, 32]",0.0005,32,0.3,tanh,rmsprop,58
60,0.7292213405131909,14.209126387466199,12.26919844832919,"[64, 32]",0.0005,64,0.1,relu,adam,131
61,0.7150350037185145,14.576589335204112,12.98472959691214,"[64, 32]",0.0005,64,0.1,relu,rmsprop,44
62,0.8246241521528495,11.43523389650737,10.23551654695686,"[64, 32]",0.0005,64,0.1,tanh,adam,113
63,0.7558902520718842,13.491266506296759,11.292450015097316,"[64, 32]",0.0005,64,0.1,tanh,rmsprop,92
64,0.5904394784174913,17.475081263322384,15.563966568083027,"[64, 32]",0.0005,64,0.2,relu,adam,35
