n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,mean_train_score,mean_test_score,std_test_score,rank_test_score
300,None,10,8,sqrt,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
300,None,2,8,log2,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
300,None,5,8,log2,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
300,None,2,8,sqrt,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
300,None,10,8,log2,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
300,40,5,8,log2,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
300,None,5,8,sqrt,True,0.9883387420060179,0.26151205608492645,0.40660146413971876,61
200,40,10,8,log2,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,20,5,8,log2,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,20,2,8,log2,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,40,2,8,sqrt,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,None,5,8,log2,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,20,10,8,log2,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,None,10,8,log2,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,40,5,8,log2,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,40,5,8,sqrt,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,None,5,8,sqrt,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,40,2,8,log2,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,40,10,8,sqrt,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,20,10,8,sqrt,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,None,2,8,sqrt,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,20,5,8,sqrt,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,None,10,8,sqrt,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,20,2,8,sqrt,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
200,None,2,8,log2,True,0.9883479277785063,0.2613758773163147,0.4106604946413501,79
100,40,2,8,sqrt,True,0.988095127586087,0.2575568511084674,0.3833060931164406,97
