n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,mean_train_score,mean_test_score,std_test_score,rank_test_score
100,None,5,2,log2,0.9704667508947494,0.10245648021275525,0.4421079779493711,63
200,10,5,2,log2,0.968328231428592,0.10029644586646302,0.45964479984336964,69
200,10,5,2,sqrt,0.968328231428592,0.10029644586646302,0.45964479984336964,69
100,20,2,2,sqrt,0.973319322168259,0.09620541008517532,0.46907257948640096,71
100,20,2,2,log2,0.973319322168259,0.09620541008517532,0.46907257948640096,71
100,30,2,2,sqrt,0.973319322168259,0.09620541008517532,0.46907257948640096,71
100,None,2,2,log2,0.973319322168259,0.09620541008517532,0.46907257948640096,71
100,30,2,2,log2,0.973319322168259,0.09620541008517532,0.46907257948640096,71
100,None,2,2,sqrt,0.973319322168259,0.09620541008517532,0.46907257948640096,71
100,20,2,1,log2,0.986917912302356,0.09586616113302841,0.4854820575918801,77
100,20,2,1,sqrt,0.986917912302356,0.09586616113302841,0.4854820575918801,77
100,20,5,1,log2,0.9786254886884501,0.09381624236464252,0.4756683420829424,79
100,20,5,1,sqrt,0.9786254886884501,0.09381624236464252,0.4756683420829424,79
50,None,2,1,sqrt,0.9851427228029254,0.09294251165949645,0.49890328187540034,81
50,30,2,1,sqrt,0.9851427228029254,0.09294251165949645,0.49890328187540034,81
50,None,2,1,log2,0.9851427228029254,0.09294251165949645,0.49890328187540034,81
50,30,2,1,log2,0.9851427228029254,0.09294251165949645,0.49890328187540034,81
100,10,5,1,log2,0.9764023042663871,0.09156803485613114,0.4709058480992172,85
100,10,5,1,sqrt,0.9764023042663871,0.09156803485613114,0.4709058480992172,85
100,None,5,1,log2,0.9786219995473273,0.09086808610225228,0.47876469820195194,87
100,30,5,1,log2,0.9786219995473273,0.09086808610225228,0.47876469820195194,87
100,None,5,1,sqrt,0.9786219995473273,0.09086808610225228,0.47876469820195194,87
100,30,5,1,sqrt,0.9786219995473273,0.09086808610225228,0.47876469820195194,87
100,10,2,1,log2,0.9831736700969621,0.0877900006940158,0.48873325412473767,91
100,10,2,1,sqrt,0.9831736700969621,0.0877900006940158,0.48873325412473767,91
50,10,10,1,sqrt,0.9608142692911713,0.08756897674060157,0.4883733836417006,93
50,10,10,1,log2,0.9608142692911713,0.08756897674060157,0.4883733836417006,93
100,10,5,2,sqrt,0.9681631788205799,0.08536316170552778,0.4968538594992839,95
