hidden_layers,batch_size,learning_rate,dropout_rate,weight_decay,activation,val_loss,train_loss,n_epochs,test_mse,test_rmse,test_mae,test_r2
"[32, 16]",8,0.0001,0.3,0.0,relu,0.0805988063220866,0.32981124091597774,72,160.48580154650568,12.668299078665047,8.94555421300815,0.7847633147491392
"[32, 16]",8,0.0001,0.3,0.0,tanh,0.11184516752837226,0.3118251520726416,83,164.23587909426425,12.815454697132843,8.826110343170997,0.7797338713152955
"[32, 16]",8,0.0001,0.3,1e-05,relu,0.08613272081129253,0.3328116193916353,75,178.60218088189686,13.364212692182688,9.554770367836888,0.7604664025031868
"[32, 16]",8,0.0001,0.3,1e-05,tanh,0.10589813598198816,0.27482471656468177,112,175.98796298620957,13.266045491638025,9.462867838697052,0.7639724796076349
"[32, 16]",8,0.0001,0.3,0.0001,relu,0.09093108982779086,0.3727369584024899,26,186.58080036711124,13.659458275023619,10.511815025756313,0.7497658196832304
"[32, 16]",8,0.0001,0.3,0.0001,tanh,0.10207036440260708,0.3111284444966013,128,157.34462379382126,12.543708534313975,9.013394769438735,0.788976127850089
"[32, 16]",8,0.0001,0.4,0.0,relu,0.09374506247695535,0.4412023516164886,93,152.93982803755995,12.366884330240982,8.063740505478092,0.7948836513110352
"[32, 16]",8,0.0001,0.4,0.0,tanh,0.11612558329943568,0.33888898381874677,49,155.71346104565444,12.47851998618644,8.784885373410852,0.7911637734837644
"[32, 16]",8,0.0001,0.4,1e-05,relu,0.09916332707507536,0.39945695129415343,36,144.95234566494622,12.039615677626351,7.847374621795444,0.8055961206560749
"[32, 16]",8,0.0001,0.4,1e-05,tanh,0.11704046552767977,0.29803921424207236,97,243.75624388390307,15.612694959035839,11.66918439539842,0.673084563013082
"[32, 16]",8,0.0001,0.4,0.0001,relu,0.10193966591032222,0.36663275702841697,56,166.61724530199788,12.908030264219164,8.611950493457181,0.7765400849243388
"[32, 16]",8,0.0001,0.4,0.0001,tanh,0.11360679159406573,0.3154862118027513,90,231.43219399750583,15.212895648018685,11.255712753401234,0.689613051021697
"[32, 16]",16,0.001,0.2,0.0,relu,0.05509283300489187,0.17943075206130743,47,116.38390021918924,10.788137013367471,7.744187142852584,0.8439108964260231
"[32, 16]",16,0.001,0.2,0.0,tanh,0.062762237386778,0.1481133698252961,107,116.65575162644132,10.800729217346452,7.52744009701853,0.8435463009589235
"[32, 16]",16,0.001,0.2,1e-05,relu,0.05542639712803066,0.19597307313233614,31,62.77733601060472,7.923215004693784,5.812716015313012,0.9158057249825522
"[32, 16]",16,0.001,0.2,1e-05,tanh,0.059892568504437804,0.15612264641094953,123,120.61527130501936,10.982498409060634,7.739392720219728,0.8382359627072512
"[32, 16]",16,0.001,0.2,0.0001,relu,0.06706420553382486,0.23077460564672947,13,179.87332696192047,13.41168620874797,9.439586163983796,0.758761595809402
"[32, 16]",16,0.001,0.2,0.0001,tanh,0.06355957593768835,0.15725231892429292,135,120.53090281547874,10.978656694490393,7.608765505568748,0.8383491141128793
"[32, 16]",16,0.001,0.3,0.0,relu,0.06277637439779937,0.1851872761035338,79,106.07129828962314,10.299092109968875,7.222302437197926,0.8577417165623965
"[32, 16]",16,0.001,0.3,0.0,tanh,0.07677699159830809,0.17936483887024224,141,140.9430702496813,11.871944670090125,8.759999999168436,0.8109731891713187
"[32, 16]",16,0.001,0.3,1e-05,relu,0.06314158788882196,0.23521921993233263,61,108.99326269690958,10.439983845624933,7.289034387193009,0.8538229030138779
"[32, 16]",16,0.001,0.3,1e-05,tanh,0.07503788894973695,0.16835632477886975,122,125.37710519281774,11.197191844065982,7.885605008421338,0.8318495949921736
"[32, 16]",16,0.001,0.3,0.0001,relu,0.06226329319179058,0.17996737349312752,67,101.12111957113379,10.05589973951281,6.433693847468489,0.8643806842997278
"[32, 16]",16,0.001,0.3,0.0001,tanh,0.08310689078643918,0.1696189884096384,59,199.25464984773092,14.115758918589213,10.48397182999615,0.7327681954367862
"[32, 16]",16,0.001,0.4,0.0,relu,0.06924197636544704,0.2122961285058409,82,108.58640092806337,10.420479879931795,7.041043860625537,0.854368568596988
"[32, 16]",16,0.001,0.4,0.0,tanh,0.08960813749581575,0.22540830122306943,115,229.552905289124,15.151003441657718,11.067002037172545,0.6921334725687973
"[32, 16]",16,0.001,0.4,1e-05,relu,0.07465167832560837,0.24082869803532958,70,107.72399766652688,10.379017182109628,7.045063738116567,0.8555251869244282
"[32, 16]",16,0.001,0.4,1e-05,tanh,0.08569625858217478,0.20631671755108982,122,195.0254974493284,13.965152969062974,10.044873017046681,0.7384401535469813
"[32, 16]",16,0.001,0.4,0.0001,relu,0.060171403689309955,0.21928943577222526,64,111.07168212500783,10.539055086913999,7.305880664990393,0.8510354158719999
"[32, 16]",16,0.001,0.4,0.0001,tanh,0.0860191264655441,0.2097022943198681,125,220.37152523670676,14.844915804298344,11.166966139723291,0.7044471463609179
"[32, 16]",16,0.0005,0.2,0.0,relu,0.0533261455129832,0.20270019641611725,80,62.134624097174665,7.882551877226985,5.337414762507953,0.9166677026807963
"[32, 16]",16,0.0005,0.2,0.0,tanh,0.07205872749909759,0.1631584877613932,144,137.721134925533,11.735464836363874,8.588382165374988,0.8152943108691867
"[32, 16]",16,0.0005,0.2,1e-05,relu,0.051783441100269556,0.17852020252030343,96,130.90405844078612,11.441331148113235,8.040025250818008,0.8244370819526045
