feature,abs_pearson_corr,pearson_corr,abs_spearman_corr,spearman_corr
Vibration_Y_min,0.6339244200120189,0.6339244200120189,0.7690105696394499,0.7690105696394499
Force_Y_wp_add_energy,0.6141902849535259,0.6141902849535259,0.7687679248108176,0.7687679248108176
Force_Y_wp_add_entropy,0.6193167852208357,0.6193167852208357,0.7687625497671454,0.7687625497671454
Force_Y_wp_ddd_entropy,0.5998563798394952,0.5998563798394952,0.7683459838825476,0.7683459838825476
Force_X_wavelet_scale_32_ratio,0.6777493395747014,0.6777493395747014,0.766851337809977,0.766851337809977
Force_Z_freq_std,0.5903177989947088,0.5903177989947088,0.7658323831023984,0.7658323831023984
Force_Y_wavelet_scale_16_ratio,0.7571129134860038,-0.7571129134860038,0.40536621324333977,-0.40536621324333977
Vibration_Y_wp_add_entropy,0.7397385068982039,-0.7397385068982039,0.7087428924645728,-0.7087428924645728
Force_Y_abs_mean,0.7388204843128638,0.7388204843128638,0.5888579183991585,0.5888579183991585
Force_X_abs_mean,0.6571006769230374,0.6571006769230374,0.7367484057236537,0.7367484057236537
Force_X_shape_factor,0.6542488761356665,-0.6542488761356665,0.7367484057236537,-0.7367484057236537
Vibration_Z_wp_aad_std,0.7290786446422448,-0.7290786446422448,0.4358308089824659,-0.4358308089824659
Vibration_X_freq_centroid,0.6710263624704399,0.6710263624704399,0.7251521329325087,0.7251521329325087
Force_Y_shape_factor,0.7238247198578092,-0.7238247198578092,0.5888579183991585,-0.5888579183991585
Vibration_Y_wp_aaa_energy,0.531852137737247,0.531852137737247,0.7219501426306232,0.7219501426306232
Vibration_Z_wp_ada_entropy,0.7196427396461567,-0.7196427396461567,0.4783431811812042,-0.4783431811812042
Vibration_X_max,0.5493724009701269,0.5493724009701269,0.7144212421725926,0.7144212421725926
Vibration_Z_wavelet_scale_32_ratio,0.7036675242719025,0.7036675242719025,0.5835838487616284,0.5835838487616284
Force_X_wavelet_scale_4_ratio,0.7030015475379943,-0.7030015475379943,0.6621381923728131,-0.6621381923728131
Vibration_Z_wp_daa_std,0.6994443069052649,-0.6994443069052649,0.42287349834717414,-0.42287349834717414
Vibration_Y_peak2peak,0.5782950601658872,-0.5782950601658872,0.6940682553760036,-0.6940682553760036
Vibration_Z_wp_daa_entropy,0.6833658867358227,-0.6833658867358227,0.4609940759340098,-0.4609940759340098
Force_Y_wavelet_scale_32_ratio,0.6793425120467059,0.6793425120467059,0.24557345957007332,0.24557345957007332
Force_X_freq_skewness,0.6785663189052138,0.6785663189052138,0.6507903233856632,0.6507903233856632
Vibration_Y_wp_ada_entropy,0.5566963753835676,-0.5566963753835676,0.6765033805185382,-0.6765033805185382
Vibration_Z_wp_ada_std,0.673759369783792,-0.673759369783792,0.42590003186633035,-0.42590003186633035
Force_Y_peak_freq,0.6341760762428958,-0.6341760762428958,0.6633853610594679,-0.6633853610594679
Vibration_Y_impulse_factor,0.45739625398278655,-0.45739625398278655,0.6604270088265897,-0.6604270088265897
Force_Y_min,0.5076956231804316,-0.5076956231804316,0.6603820888187575,-0.6603820888187575
Vibration_Y_clearance_factor,0.44586546097908414,-0.44586546097908414,0.6546442296986521,-0.6546442296986521
Force_Z_peak2peak,0.5416781978988391,-0.5416781978988391,0.6529345818791922,-0.6529345818791922
Vibration_Y_wp_ada_std,0.5816141309084005,-0.5816141309084005,0.6479192822013108,-0.6479192822013108
Vibration_Y_wp_ada_energy,0.5072389462097561,-0.5072389462097561,0.6478697550131881,-0.6478697550131881
AE_RMS_wavelet_std,0.6471144473298286,-0.6471144473298286,0.6362811608558606,-0.6362811608558606
Vibration_Z_wp_aad_energy,0.6431093408535904,-0.6431093408535904,0.4359836137954335,-0.4359836137954335
AE_RMS_wavelet_max,0.6403062496872247,-0.6403062496872247,0.6256358868630094,-0.6256358868630094
Force_Y_wavelet_entropy,0.6380126411222838,-0.6380126411222838,0.1797975144262333,-0.1797975144262333
Vibration_Y_wp_daa_entropy,0.5133678493550871,-0.5133678493550871,0.6366735390439333,-0.6366735390439333
Force_X_freq_kurtosis,0.6322181296411782,0.6322181296411782,0.5926868691522404,0.5926868691522404
Vibration_Y_wp_aad_entropy,0.29786357406360353,0.29786357406360353,0.6302050579160956,0.6302050579160956
Vibration_Y_peak,0.3888508031600528,-0.3888508031600528,0.6288685917001647,-0.6288685917001647
Vibration_Y_crest,0.3888508031600528,-0.3888508031600528,0.6288685917001647,-0.6288685917001647
Force_X_wp_aaa_entropy,0.5440590952320729,0.5440590952320729,0.6254896088887866,0.6254896088887866
Vibration_Z_wavelet_entropy,0.6210984394346211,-0.6210984394346211,0.46895259595412786,-0.46895259595412786
AE_RMS_wavelet_mean,0.6159793739128319,-0.6159793739128319,0.6209269646744451,-0.6209269646744451
Vibration_Z_wp_daa_energy,0.6151568279452594,-0.6151568279452594,0.4229917493079631,-0.4229917493079631
Force_Z_max,0.4969062797355839,-0.4969062797355839,0.6139002468680772,-0.6139002468680772
Force_Z_peak,0.4969062797355839,-0.4969062797355839,0.6139002468680772,-0.6139002468680772
Force_Z_crest,0.4969062797355837,-0.4969062797355837,0.6139002468680772,-0.6139002468680772
Vibration_Z_wp_aaa_std,0.6077949175210692,0.6077949175210692,0.4114188963499614,0.4114188963499614
Force_Z_clearance_factor,0.46796018052655275,-0.46796018052655275,0.6030783642974242,-0.6030783642974242
Force_Y_wp_dda_entropy,0.38778108067256456,0.38778108067256456,0.6015437893290027,0.6015437893290027
Force_X_wp_ddd_std,0.5978441542833213,-0.5978441542833213,0.4379025043864196,-0.4379025043864196
Vibration_Y_wp_daa_energy,0.46416606845958663,-0.46416606845958663,0.592017292283357,-0.592017292283357
Vibration_Y_wp_daa_std,0.5314255383472007,-0.5314255383472007,0.5917193612912391,-0.5917193612912391
Vibration_Z_wp_aaa_energy,0.5910821563815783,0.5910821563815783,0.4063383282846317,0.4063383282846317
Vibration_Z_wp_ada_energy,0.5892348876565007,-0.5892348876565007,0.4262808921036769,-0.4262808921036769
Force_Y_freq_std,0.585847153966575,0.585847153966575,0.4721327021496336,0.4721327021496336
Force_X_peak_freq,0.5814640915548865,0.5814640915548865,0.24120406660491933,0.24120406660491933
Force_X_wavelet_max,0.5811270428055387,0.5811270428055387,0.38852466569148014,0.38852466569148014
Force_X_wavelet_std,0.5779860456661685,0.5779860456661685,0.40118750071987197,0.40118750071987197
Vibration_X_freq_band_3_ratio,0.41116089129817524,0.41116089129817524,0.5669741959510564,0.5669741959510564
Vibration_Y_wp_ddd_std,0.5617184854325402,-0.5617184854325402,0.31200093679332574,-0.31200093679332574
Force_Z_freq_mean,0.5570633793901973,-0.5570633793901973,0.48180547716950206,-0.48180547716950206
Force_Z_impulse_factor,0.44086304183353286,-0.44086304183353286,0.5550120362585089,-0.5550120362585089
Force_X_wp_ddd_entropy,0.5530061701099785,-0.5530061701099785,0.42483577321922883,-0.42483577321922883
Vibration_Y_max,0.325956810014596,-0.325956810014596,0.5525663913876443,-0.5525663913876443
Force_Y_wp_aad_entropy,0.3693374776592483,0.3693374776592483,0.5494077853668276,0.5494077853668276
Force_X_wp_ddd_energy,0.5487818983209463,-0.5487818983209463,0.43679562932163113,-0.43679562932163113
Vibration_Y_freq_skewness,0.548469296593992,0.548469296593992,0.3994348525510341,0.3994348525510341
Force_X_freq_max,0.5431759052129954,0.5431759052129954,0.509825963764527,0.509825963764527
Force_X_peak_magnitude,0.5431759052129954,0.5431759052129954,0.509825963764527,0.509825963764527
Force_Z_wp_aad_entropy,0.5044658222892047,-0.5044658222892047,0.5421311280297009,-0.5421311280297009
Vibration_Y_wp_ddd_entropy,0.5366809297289032,-0.5366809297289032,0.2712327662662259,-0.2712327662662259
Vibration_X_clearance_factor,0.4559983370198683,0.4559983370198683,0.5265626979647782,0.5265626979647782
Vibration_Y_wp_ddd_energy,0.5263088603715629,-0.5263088603715629,0.3134951989342057,-0.3134951989342057
Force_Y_wp_dda_energy,0.15927662613945376,0.15927662613945376,0.5228473909921947,0.5228473909921947
Force_Y_wp_dda_std,0.2778142594067711,0.2778142594067711,0.5228040067111259,0.5228040067111259
Force_X_skewness,0.521273044469584,-0.521273044469584,0.41644149072996933,-0.41644149072996933
Force_Y_peak2peak,0.5205655449928568,-0.5205655449928568,0.2622199698229691,-0.2622199698229691
Force_Z_min,0.5203714596551572,0.5203714596551572,0.43223874408265284,0.43223874408265284
Vibration_X_impulse_factor,0.45557030590210645,0.45557030590210645,0.5194975869893229,0.5194975869893229
Vibration_Y_freq_kurtosis,0.5182746709836463,0.5182746709836463,0.3533242725454287,0.3533242725454287
Vibration_X_peak,0.4423199382619241,0.4423199382619241,0.5180033248484429,0.5180033248484429
Vibration_X_crest,0.4423199382619242,0.4423199382619242,0.5180033248484429,0.5180033248484429
Vibration_Z_wavelet_scale_16_ratio,0.5168136181230137,-0.5168136181230137,0.468460395526428,-0.468460395526428
Force_Z_wp_aad_energy,0.4797137196134828,-0.4797137196134828,0.5078997784714144,-0.5078997784714144
Force_Z_wp_aad_std,0.478892085727273,-0.478892085727273,0.5077895900761337,-0.5077895900761337
Force_Z_abs_mean,0.028683535506813948,-0.028683535506813948,0.5024091713602317,-0.5024091713602317
Force_Z_shape_factor,0.013897068176385141,0.013897068176385141,0.5024091713602317,0.5024091713602317
AE_RMS_skewness,0.49593563828210535,0.49593563828210535,0.4468911131331514,0.4468911131331514
Vibration_X_shape_factor,0.49074710811531186,0.49074710811531186,0.39446677647113026,0.39446677647113026
Vibration_Z_freq_mean,0.48832151512075483,-0.48832151512075483,0.3133715729297444,-0.3133715729297444
Vibration_X_abs_mean,0.48775936440290635,-0.48775936440290635,0.39446677647113026,-0.39446677647113026
Force_Z_wavelet_scale_4_ratio,0.42106618651307165,-0.42106618651307165,0.4728690831327291,-0.4728690831327291
Force_Y_freq_skewness,0.47001011244896723,0.47001011244896723,0.3283479803273402,0.3283479803273402
Vibration_X_peak2peak,0.466098859201202,0.466098859201202,0.4668029624169268,0.4668029624169268
Force_Y_freq_mean,0.45946434905649974,-0.45946434905649974,0.33621589246841205,-0.33621589246841205
Vibration_X_freq_max,0.45658691400453544,-0.45658691400453544,0.4575060565224236,-0.4575060565224236
Vibration_X_peak_magnitude,0.45658691400453544,-0.45658691400453544,0.4575060565224236,-0.4575060565224236
Vibration_X_wavelet_max,0.45335238320502913,0.45335238320502913,0.3387317968387065,0.3387317968387065
AE_RMS_min,0.4506844478885257,0.4506844478885257,0.44437136944594824,0.44437136944594824
Vibration_Z_freq_std,0.4474650216413665,0.4474650216413665,0.33897636132579295,0.33897636132579295
Force_Y_freq_kurtosis,0.436931415817456,0.436931415817456,0.3025677351485624,0.3025677351485624
Force_Z_wp_daa_entropy,0.43549508234656564,-0.43549508234656564,0.43450739644402475,-0.43450739644402475
Force_Z_wp_daa_energy,0.4338665565421692,-0.4338665565421692,0.42925290732272914,-0.42925290732272914
Vibration_Y_wavelet_mean,0.3649507926309268,0.3649507926309268,0.43257391644878546,0.43257391644878546
Force_Z_wp_daa_std,0.407969891748224,-0.407969891748224,0.4289396190629763,-0.4289396190629763
Vibration_Y_wavelet_scale_4_ratio,0.4280809886588606,-0.4280809886588606,0.26223955033920365,-0.26223955033920365
Vibration_X_wavelet_min,0.4208890239909815,0.4208890239909815,0.4256804229391507,0.4256804229391507
Force_Z_wp_ada_entropy,0.42451029120764294,-0.42451029120764294,0.4233918061298534,-0.4233918061298534
Force_Z_wp_ada_energy,0.4241125064711347,-0.4241125064711347,0.41427419633498813,-0.41427419633498813
Force_X_wp_dda_entropy,0.22543223209895974,-0.22543223209895974,0.42053420255468144,-0.42053420255468144
Vibration_Z_freq_skewness,0.4188137450393026,0.4188137450393026,0.20250745787309524,0.20250745787309524
Force_Z_wp_ada_std,0.39639836618615776,-0.39639836618615776,0.4137923620629418,-0.4137923620629418
Vibration_Y_wp_dda_entropy,0.2336040146902663,0.2336040146902663,0.41109524193455504,0.41109524193455504
Vibration_Z_freq_kurtosis,0.4076968268819674,0.4076968268819674,0.17402740504409456,0.17402740504409456
Vibration_Z_wp_aaa_entropy,0.2628642847718474,-0.2628642847718474,0.4029816135113241,-0.4029816135113241
Vibration_Y_freq_max,0.39765971286634616,0.39765971286634616,0.303868495717242,0.303868495717242
Vibration_Y_peak_magnitude,0.39765971286634616,0.39765971286634616,0.303868495717242,0.303868495717242
Vibration_Z_abs_mean,0.39565484308465354,0.39565484308465354,0.16046847344920392,0.16046847344920392
Force_Y_wp_ada_std,0.3940274089121502,-0.3940274089121502,0.3124390028526125,-0.3124390028526125
Vibration_Z_skewness,0.325427918544611,0.325427918544611,0.38915968870818507,0.38915968870818507
AE_RMS_kurtosis,0.38559903923737704,0.38559903923737704,0.3252477319235362,0.3252477319235362
Force_X_freq_band_1_ratio,0.3827459960101477,0.3827459960101477,0.22526308919117113,0.22526308919117113
Vibration_Z_shape_factor,0.3817480272590429,-0.3817480272590429,0.16046847344920392,-0.16046847344920392
Vibration_Z_wp_add_entropy,0.37575880927074445,-0.37575880927074445,0.12191558877844455,-0.12191558877844455
