n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,mean_train_score,mean_test_score,std_test_score,rank_test_score
200,20,10,1,sqrt,0.9655878191780379,-0.3871486199443538,0.7875412075764029,51
200,20,10,1,log2,0.9655878191780379,-0.3871486199443538,0.7875412075764029,51
100,20,10,1,log2,0.9654496125798543,-0.38715434423140616,0.8120125527256872,53
100,20,10,1,sqrt,0.9654496125798543,-0.38715434423140616,0.8120125527256872,53
200,20,5,2,sqrt,0.97307552374807,-0.38769979324034043,0.7601488710477625,55
200,20,5,2,log2,0.97307552374807,-0.38769979324034043,0.7601488710477625,55
100,30,5,1,log2,0.9797084920877743,-0.3882633303792436,0.7775589548283266,57
100,30,5,1,sqrt,0.9797084920877743,-0.3882633303792436,0.7775589548283266,57
100,None,5,1,sqrt,0.9797084920877743,-0.3882633303792436,0.7775589548283266,57
100,None,5,1,log2,0.9797084920877743,-0.3882633303792436,0.7775589548283266,57
200,20,2,1,log2,0.9857920267403155,-0.38891896964616357,0.7760902980785951,61
200,20,2,1,sqrt,0.9857920267403155,-0.38891896964616357,0.7760902980785951,61
100,10,2,2,log2,0.9710502658628732,-0.38893505576669146,0.7332703539038194,63
100,10,2,2,sqrt,0.9710502658628732,-0.38893505576669146,0.7332703539038194,63
100,30,5,4,sqrt,0.9531551770495476,-0.39234744866900595,0.7512438951985018,65
100,20,5,4,sqrt,0.9531551770495476,-0.39234744866900595,0.7512438951985018,65
100,20,2,4,sqrt,0.9531551770495476,-0.39234744866900595,0.7512438951985018,65
100,30,5,4,log2,0.9531551770495476,-0.39234744866900595,0.7512438951985018,65
100,20,5,4,log2,0.9531551770495476,-0.39234744866900595,0.7512438951985018,65
100,30,2,4,sqrt,0.9531551770495476,-0.39234744866900595,0.7512438951985018,65
100,30,2,4,log2,0.9531551770495476,-0.39234744866900595,0.7512438951985018,65
100,None,2,4,sqrt,0.9531551770495476,-0.39234744866900595,0.7512438951985018,65
100,None,5,4,log2,0.9531551770495476,-0.39234744866900595,0.7512438951985018,65
100,None,5,4,sqrt,0.9531551770495476,-0.39234744866900595,0.7512438951985018,65
100,None,2,4,log2,0.9531551770495476,-0.39234744866900595,0.7512438951985018,65
100,20,2,4,log2,0.9531551770495476,-0.39234744866900595,0.7512438951985018,65
200,10,10,1,sqrt,0.9620342322398692,-0.39448710447708535,0.77517790402147,77
200,10,10,1,log2,0.9620342322398692,-0.39448710447708535,0.77517790402147,77
200,20,10,2,sqrt,0.9596436519204712,-0.3953717557036428,0.7939896861091309,79
200,20,10,2,log2,0.9596436519204712,-0.3953717557036428,0.7939896861091309,79
200,None,10,2,log2,0.9596770000222967,-0.3955088142243707,0.7943325298981999,81
200,None,10,2,sqrt,0.9596770000222967,-0.3955088142243707,0.7943325298981999,81
200,30,10,2,sqrt,0.9596770000222967,-0.3955088142243707,0.7943325298981999,81
200,30,10,2,log2,0.9596770000222967,-0.3955088142243707,0.7943325298981999,81
100,20,5,1,log2,0.9797265642006995,-0.3958434165043717,0.7884396647892014,85
100,20,5,1,sqrt,0.9797265642006995,-0.3958434165043717,0.7884396647892014,85
