Feature,Importance
Force_Z_freq_kurtosis,0.00020410473728252999
Force_Y_wp_dad_std,0.00019695670005027315
Force_Y_wp_aad_energy,0.00018871867680138814
Force_Z_wp_daa_std,0.00018625870648009731
AE_RMS_wp_dad_std,0.0001842555806134064
Force_Y_wp_dda_energy,0.00018249036950052658
Vibration_X_kurtosis,0.00018205060176879686
Force_Y_wp_daa_entropy,0.00018138650388341328
Force_Y_wp_add_energy,0.00018103128991035008
AE_RMS_freq_max,0.00017932894950100194
AE_RMS_wavelet_scale_16_ratio,0.00016302957570422705
AE_RMS_wp_daa_entropy,0.00016271168933681336
Vibration_Z_wavelet_mean,0.00016109573226072974
Force_X_wavelet_scale_4_ratio,0.00016093994541885537
AE_RMS_wp_ddd_std,0.0001576908979080982
Vibration_X_freq_std,0.0001564346544406326
Vibration_Y_peak2peak,0.00015148974826344904
Force_Y_wp_daa_std,0.00015090673483598988
AE_RMS_wp_ada_entropy,0.00014687138414863805
Force_Z_wp_dad_energy,0.0001461142165137311
Vibration_Z_freq_kurtosis,0.00014595451469314293
AE_RMS_wp_aad_energy,0.0001414209027359646
AE_RMS_freq_kurtosis,0.00013990137464776374
Vibration_Y_freq_mean,0.00013915220239451052
Vibration_Y_wp_daa_std,0.00013370922973183743
Vibration_X_wp_daa_energy,0.0001309518448985943
AE_RMS_wp_aad_std,0.0001280049976298579
Vibration_Y_wp_add_entropy,0.0001274965652073508
Vibration_X_wavelet_scale_4_ratio,0.00012460790600294413
Force_Z_freq_skewness,0.00012375718851341332
Vibration_X_wp_ada_entropy,0.00012204686212008835
AE_RMS_wavelet_entropy,0.00012188721818703687
AE_RMS_impulse_factor,0.00012102682685742735
Vibration_Z_wavelet_max,0.0001192246414413577
AE_RMS_wp_daa_energy,0.00011825178728207382
Vibration_Z_wp_ddd_std,0.00011570037480364505
Vibration_Z_freq_band_2_ratio,0.00011557393141884299
AE_RMS_wavelet_std,0.00011543718409663773
Force_Y_freq_kurtosis,0.00010312920707493558
AE_RMS_wavelet_mean,0.00010257072617123309
AE_RMS_peak_freq,0.00010181892374052279
Force_Y_wp_aaa_std,0.00010058677516650052
AE_RMS_wp_ddd_entropy,9.153558189197735e-05
Force_Y_freq_max,9.132208204183886e-05
Vibration_X_wp_daa_std,8.814671290264014e-05
Vibration_Z_wp_add_entropy,8.376410093592895e-05
AE_RMS_wp_daa_std,8.313045078996979e-05
AE_RMS_wp_ddd_energy,8.29605111211151e-05
Vibration_Z_wp_daa_entropy,8.217305357833922e-05
Vibration_Z_peak2peak,8.026057657817954e-05
Force_Z_wp_dad_std,8.015895653387389e-05
Vibration_X_abs_mean,7.34739233524425e-05
Force_Z_wp_ada_energy,7.140950175503771e-05
AE_RMS_wp_dda_std,6.848912021743902e-05
Vibration_Z_wp_aad_entropy,6.831285267634387e-05
Force_Z_wp_ddd_entropy,6.58466450457023e-05
AE_RMS_peak_magnitude,6.325187491155784e-05
Vibration_Z_clearance_factor,5.9255113645563176e-05
Force_Z_wp_aaa_std,5.7088418115953786e-05
Force_X_wp_dad_mean,5.7046967469594166e-05
AE_RMS_wavelet_scale_32_ratio,5.45328210758037e-05
Vibration_X_wp_add_entropy,5.299034900939244e-05
Vibration_Y_wp_ada_entropy,5.294444177522662e-05
AE_RMS_freq_skewness,5.194689163941975e-05
Force_X_freq_max,5.146472390244826e-05
AE_RMS_wp_dda_entropy,5.054870690168296e-05
Vibration_X_clearance_factor,4.9605840777037866e-05
AE_RMS_wp_ada_std,4.9158755769871896e-05
Force_Z_freq_band_2_ratio,4.812221784680058e-05
Vibration_Z_freq_std,4.74541951037595e-05
Vibration_Z_peak_freq,4.460231016780874e-05
Vibration_Z_crest,4.078326398101273e-05
Force_Z_peak_magnitude,3.773108694459591e-05
Force_Y_wp_dda_std,3.725084593861926e-05
AE_RMS_min,3.5399155161365965e-05
AE_RMS_crest,3.4677214665884515e-05
Vibration_Z_freq_skewness,3.467078300206743e-05
AE_RMS_wavelet_min,3.27281615215642e-05
Force_X_freq_kurtosis,3.192727691057068e-05
Vibration_Y_clearance_factor,3.1800010867169686e-05
Vibration_Z_peak_magnitude,2.851018169559516e-05
AE_RMS_freq_std,2.715016782648603e-05
Force_Z_wp_ddd_energy,2.4235581513109036e-05
Vibration_X_freq_mean,2.242240041765158e-05
AE_RMS_wp_aad_mean,2.1483155604585475e-05
Force_Y_freq_mean,2.105764677456347e-05
Vibration_X_crest,2.061202841426853e-05
Vibration_X_peak,2.036977098102057e-05
Force_Z_freq_band_5_ratio,1.9870885030589557e-05
AE_RMS_wp_dda_energy,1.9068670164609883e-05
Vibration_Y_wp_dda_entropy,1.8608733831689085e-05
Force_Z_freq_band_1_ratio,1.7883058908092086e-05
Vibration_Z_max,1.7644003241424638e-05
Vibration_Z_freq_mean,1.7627668164612274e-05
Vibration_Y_max,1.7096831946411223e-05
AE_RMS_skewness,1.7022069075089775e-05
Vibration_Z_wavelet_min,1.6902676633106995e-05
Vibration_Y_freq_band_5_ratio,1.660996872239186e-05
Force_Y_peak_magnitude,1.6184834598062765e-05
Force_Y_wp_aaa_energy,1.4822439639876123e-05
Force_Y_wp_dad_mean,1.3937109206693158e-05
Vibration_Y_wp_daa_mean,1.3632226470025439e-05
Force_Z_freq_max,1.3377465964919835e-05
Force_Z_wp_dda_mean,1.2977931387925926e-05
Vibration_Z_freq_centroid,1.2674029994287689e-05
AE_RMS_shape_factor,1.2318215293654703e-05
Vibration_Z_wp_daa_mean,1.2269524902490621e-05
Force_Y_peak_freq,1.2228409443741672e-05
AE_RMS_freq_band_1_ratio,1.1857885995543913e-05
AE_RMS_wavelet_scale_4_ratio,1.1788513051607086e-05
AE_RMS_clearance_factor,1.1051748317500448e-05
Force_Y_wavelet_scale_4_ratio,1.0886985533819391e-05
Vibration_Y_freq_band_3_ratio,1.0696835308925855e-05
Force_X_peak_magnitude,1.0662390898678664e-05
Force_Y_wp_daa_mean,1.0626247118432094e-05
